63 [421.189, 445.009] 17.5
62 [282.019, 445.028] 17.5
61 [146.428, 445.061] 17.5
2 [87.9024, 405.108] 17.5
16 [460.9, 395.042] 17.5
18 [516.747, 393.222] 17.5
14 [391.285, 384.77] 17.5
12 [345.834, 384.823] 17.5
7 [227.798, 384.8] 17.5
5 [166.334, 384.751] 18
4 [127.126, 378.235] 17.5
10 [294.951, 376.044] 17.5
1 [61.6278, 367.638] 18
8 [247.15, 348.007] 17.5
6 [178.9, 347.958] 17.5
17 [525.058, 343.449] 17.5
11 [324, 340.918] 17.5
3 [140.443, 340.823] 18
15 [458.553, 335.777] 18
9 [283.274, 335.822] 17.5
13 [399.365, 330.77] 18
42 [611.253, 306.487] 17.5
22 [48.1359, 304.842] 17.5
41 [573.534, 301.5] 18
38 [521.191, 284.392] 17.5
34 [372.007, 284.399] 17.5
23 [101.233, 281.536] 17
26 [203.749, 269.757] 17.5
29 [297.401, 269.518] 18
21 [61.6147, 265.379] 17
24 [135.251, 264.434] 17
36 [442.358, 264.394] 18
40 [591.269, 261.388] 17.5
33 [399.401, 257.556] 18
28 [257.221, 257.593] 17.5
39 [543.129, 249.088] 17.5
31 [365.526, 240.38] 18
30 [287.847, 220.072] 17.5
37 [507, 218.441] 17.5
27 [233.053, 215.737] 17.5
25 [187.566, 215.698] 18
19 [48.2103, 210.349] 17
35 [436.505, 206.976] 18
20 [135.245, 206.547] 17
32 [396.591, 198.463] 18
60 [381.764, 153.184] 17.5
53 [227.791, 153.152] 17.5
48 [119.042, 153.145] 17.5
54 [299.621, 132.215] 18
43 [47.9942, 132.149] 17.5
49 [191.883, 128.411] 17.5
45 [86.3359, 128.435] 18
58 [355.921, 123.924] 17.5
52 [251.08, 118.962] 17.5
59 [404.308, 115.059] 17.5
47 [135.143, 115.05] 17.5
50 [219.931, 87.7687] 17.5
44 [77.1125, 87.7598] 17.5
56 [359.094, 77.0354] 17.5
46 [119.004, 77.0895] 17.5
51 [271.72, 71.7465] 17.5
57 [396.575, 70.5536] 18
55 [378.096, 27.6977] 17.5
